Rk,TeamName,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Winnipeg Jets,8.3,.939,102.2,3064,3022,50.3,2233,2193,50.5,128.7,119.8,134,92,+33,1356,1327,50.5,464,446,51.0,51,9.9,32,6.7
2,Washington Capitals,9.9,.924,102.3,2963,2877,50.7,2119,2024,51.1,132.7,123.0,148,107,+31,1373,1315,51.1,447,473,48.6,50,10.1,40,7.8
3,Dallas Stars,9.0,.921,101.1,3052,2881,51.4,2129,2133,50.0,138.9,119.7,142,120,+3,1437,1354,51.5,517,459,53.0,56,9.8,50,9.8
4,Florida Panthers,7.7,.923,100.1,3289,2582,56.0,2360,1964,54.6,145.7,112.1,131,108,-11,1554,1188,56.7,565,395,58.9,52,8.4,42,9.6
5,Vegas Golden Knights,8.2,.916,99.8,3189,2952,51.9,2309,2134,52.0,141.9,119.9,140,123,-5,1529,1388,52.4,510,483,51.4,47,8.4,45,8.5
6,Toronto Maple Leafs,8.4,.926,101.0,2912,2973,49.5,2086,2150,49.2,135.1,126.7,128,111,+9,1348,1416,48.8,449,499,47.4,45,9.1,48,8.8
7,Edmonton Oilers,7.6,.913,98.9,3258,2737,54.3,2349,1999,54.0,152.2,127.1,134,132,-23,1529,1311,53.8,548,447,55.1,56,9.3,47,9.5
8,Tampa Bay Lightning,8.9,.930,102.0,2957,2907,50.4,2113,2160,49.5,142.1,131.7,138,111,+17,1395,1382,50.2,476,440,52.0,48,9.2,26,5.6
9,Colorado Avalanche,8.0,.912,99.2,3246,2695,54.6,2237,1950,53.4,141.5,124.2,129,126,-14,1519,1287,54.1,487,440,52.5,51,9.5,54,10.9
10,Carolina Hurricanes,7.7,.909,98.6,3578,2399,59.9,2535,1818,58.2,141.0,119.1,130,123,-15,1676,1247,57.3,591,422,58.3,46,7.2,39,8.5
