,year,Home,Visitor,HomeWin
0,16-17,Minnesota Wild,St. Louis Blues,False
1,16-17,Edmonton Oilers,San Jose Sharks,False
2,16-17,Pittsburgh Penguins,Columbus Blue Jackets,True
3,16-17,Montreal Canadiens,New York Rangers,False
4,16-17,Ottawa Senators,Boston Bruins,False
5,16-17,Anaheim Ducks,Calgary Flames,True
6,16-17,Chicago Blackhawks,Nashville Predators,False
7,16-17,Washington Capitals,Toronto Maple Leafs,True
8,16-17,Edmonton Oilers,San Jose Sharks,True
9,16-17,Minnesota Wild,St. Louis Blues,False
10,16-17,Montreal Canadiens,New York Rangers,True
11,16-17,Pittsburgh Penguins,Columbus Blue Jackets,True
12,16-17,Anaheim Ducks,Calgary Flames,True
13,16-17,Washington Capitals,Toronto Maple Leafs,False
14,16-17,Ottawa Senators,Boston Bruins,True
15,16-17,Chicago Blackhawks,Nashville Predators,False
16,16-17,Columbus Blue Jackets,Pittsburgh Penguins,False
17,16-17,New York Rangers,Montreal Canadiens,False
18,16-17,San Jose Sharks,Edmonton Oilers,False
19,16-17,St. Louis Blues,Minnesota Wild,True
20,16-17,Toronto Maple Leafs,Washington Capitals,True
21,16-17,Nashville Predators,Chicago Blackhawks,True
22,16-17,Boston Bruins,Ottawa Senators,False
23,16-17,Calgary Flames,Anaheim Ducks,False
24,16-17,Columbus Blue Jackets,Pittsburgh Penguins,True
25,16-17,New York Rangers,Montreal Canadiens,True
26,16-17,San Jose Sharks,Edmonton Oilers,True
27,16-17,Boston Bruins,Ottawa Senators,False
28,16-17,Calgary Flames,Anaheim Ducks,False
29,16-17,St. Louis Blues,Minnesota Wild,False
30,16-17,Toronto Maple Leafs,Washington Capitals,False
31,16-17,Montreal Canadiens,New York Rangers,False
32,16-17,Pittsburgh Penguins,Columbus Blue Jackets,True
33,16-17,Nashville Predators,Chicago Blackhawks,True
34,16-17,Edmonton Oilers,San Jose Sharks,True
35,16-17,Ottawa Senators,Boston Bruins,False
36,16-17,Washington Capitals,Toronto Maple Leafs,True
37,16-17,Minnesota Wild,St. Louis Blues,False
38,16-17,New York Rangers,Montreal Canadiens,True
39,16-17,San Jose Sharks,Edmonton Oilers,False
40,16-17,Boston Bruins,Ottawa Senators,False
41,16-17,Toronto Maple Leafs,Washington Capitals,False
42,16-17,St. Louis Blues,Nashville Predators,False
43,16-17,Anaheim Ducks,Edmonton Oilers,False
44,16-17,Ottawa Senators,New York Rangers,True
45,16-17,Washington Capitals,Pittsburgh Penguins,False
46,16-17,Anaheim Ducks,Edmonton Oilers,False
47,16-17,St. Louis Blues,Nashville Predators,True
48,16-17,Ottawa Senators,New York Rangers,True
49,16-17,Washington Capitals,Pittsburgh Penguins,False
50,16-17,Edmonton Oilers,Anaheim Ducks,False
51,16-17,Nashville Predators,St. Louis Blues,True
52,16-17,Pittsburgh Penguins,Washington Capitals,False
53,16-17,Nashville Predators,St. Louis Blues,True
54,16-17,New York Rangers,Ottawa Senators,True
55,16-17,Edmonton Oilers,Anaheim Ducks,False
56,16-17,Pittsburgh Penguins,Washington Capitals,True
57,16-17,New York Rangers,Ottawa Senators,True
58,16-17,Anaheim Ducks,Edmonton Oilers,True
59,16-17,St. Louis Blues,Nashville Predators,True
60,16-17,Ottawa Senators,New York Rangers,True
61,16-17,Washington Capitals,Pittsburgh Penguins,True
62,16-17,Edmonton Oilers,Anaheim Ducks,True
63,16-17,Nashville Predators,St. Louis Blues,True
64,16-17,Pittsburgh Penguins,Washington Capitals,False
65,16-17,New York Rangers,Ottawa Senators,False
66,16-17,Washington Capitals,Pittsburgh Penguins,False
67,16-17,Anaheim Ducks,Edmonton Oilers,True
68,16-17,Anaheim Ducks,Nashville Predators,False
69,16-17,Pittsburgh Penguins,Ottawa Senators,False
70,16-17,Anaheim Ducks,Nashville Predators,True
71,16-17,Pittsburgh Penguins,Ottawa Senators,True
72,16-17,Nashville Predators,Anaheim Ducks,True
73,16-17,Ottawa Senators,Pittsburgh Penguins,True
74,16-17,Nashville Predators,Anaheim Ducks,False
75,16-17,Ottawa Senators,Pittsburgh Penguins,False
76,16-17,Anaheim Ducks,Nashville Predators,False
77,16-17,Pittsburgh Penguins,Ottawa Senators,True
78,16-17,Nashville Predators,Anaheim Ducks,True
79,16-17,Ottawa Senators,Pittsburgh Penguins,True
80,16-17,Pittsburgh Penguins,Ottawa Senators,True
81,16-17,Pittsburgh Penguins,Nashville Predators,True
82,16-17,Pittsburgh Penguins,Nashville Predators,True
83,16-17,Nashville Predators,Pittsburgh Penguins,True
84,16-17,Nashville Predators,Pittsburgh Penguins,True
85,16-17,Pittsburgh Penguins,Nashville Predators,True
86,16-17,Nashville Predators,Pittsburgh Penguins,False
87,17-18,Vegas Golden Knights,Los Angeles Kings,True
88,17-18,Pittsburgh Penguins,Philadelphia Flyers,True
89,17-18,Winnipeg Jets,Minnesota Wild,True
90,17-18,Anaheim Ducks,San Jose Sharks,False
91,17-18,Boston Bruins,Toronto Maple Leafs,True
92,17-18,Nashville Predators,Colorado Avalanche,True
93,17-18,Tampa Bay Lightning,New Jersey Devils,True
94,17-18,Washington Capitals,Columbus Blue Jackets,False
95,17-18,Pittsburgh Penguins,Philadelphia Flyers,False
96,17-18,Vegas Golden Knights,Los Angeles Kings,True
97,17-18,Winnipeg Jets,Minnesota Wild,True
98,17-18,Anaheim Ducks,San Jose Sharks,False
99,17-18,Tampa Bay Lightning,New Jersey Devils,True
100,17-18,Nashville Predators,Colorado Avalanche,True
101,17-18,Boston Bruins,Toronto Maple Leafs,True
102,17-18,Los Angeles Kings,Vegas Golden Knights,False
103,17-18,Minnesota Wild,Winnipeg Jets,True
104,17-18,Philadelphia Flyers,Pittsburgh Penguins,False
105,17-18,Washington Capitals,Columbus Blue Jackets,False
106,17-18,Toronto Maple Leafs,Boston Bruins,True
107,17-18,San Jose Sharks,Anaheim Ducks,True
108,17-18,Colorado Avalanche,Nashville Predators,True
109,17-18,New Jersey Devils,Tampa Bay Lightning,True
110,17-18,Columbus Blue Jackets,Washington Capitals,False
111,17-18,Los Angeles Kings,Vegas Golden Knights,False
112,17-18,Minnesota Wild,Winnipeg Jets,False
113,17-18,Colorado Avalanche,Nashville Predators,False
114,17-18,New Jersey Devils,Tampa Bay Lightning,False
115,17-18,Philadelphia Flyers,Pittsburgh Penguins,False
116,17-18,San Jose Sharks,Anaheim Ducks,True
117,17-18,Columbus Blue Jackets,Washington Capitals,False
118,17-18,Toronto Maple Leafs,Boston Bruins,False
119,17-18,Nashville Predators,Colorado Avalanche,False
120,17-18,Winnipeg Jets,Minnesota Wild,True
121,17-18,Pittsburgh Penguins,Philadelphia Flyers,False
122,17-18,Boston Bruins,Toronto Maple Leafs,False
123,17-18,Tampa Bay Lightning,New Jersey Devils,True
124,17-18,Washington Capitals,Columbus Blue Jackets,True
125,17-18,Colorado Avalanche,Nashville Predators,False
126,17-18,Philadelphia Flyers,Pittsburgh Penguins,False
127,17-18,Columbus Blue Jackets,Washington Capitals,False
128,17-18,Toronto Maple Leafs,Boston Bruins,True
129,17-18,Boston Bruins,Toronto Maple Leafs,True
130,17-18,Washington Capitals,Pittsburgh Penguins,False
131,17-18,Vegas Golden Knights,San Jose Sharks,True
132,17-18,Nashville Predators,Winnipeg Jets,False
133,17-18,Tampa Bay Lightning,Boston Bruins,False
134,17-18,Vegas Golden Knights,San Jose Sharks,False
135,17-18,Nashville Predators,Winnipeg Jets,True
136,17-18,Washington Capitals,Pittsburgh Penguins,True
137,17-18,San Jose Sharks,Vegas Golden Knights,False
